method,class,channel,band,real_frac,method_frac,delta
noise_aug,worn,smcAC,70-100,0.002816,0.003206,0.000390
noise_aug,worn,smcAC,100-125,0.002354,0.003583,0.001229
noise_aug,worn,smcDC,0-8,0.927060,0.757174,-0.169886
noise_aug,worn,smcDC,8-20,0.025119,0.046917,0.021798
noise_aug,worn,smcDC,20-40,0.040522,0.064372,0.023850
noise_aug,worn,smcDC,40-70,0.006290,0.052933,0.046643
noise_aug,worn,smcDC,70-100,0.000814,0.042901,0.042087
noise_aug,worn,smcDC,100-125,0.000195,0.035703,0.035508
noise_aug,worn,vib_table,0-8,0.052770,0.054850,0.002080
noise_aug,worn,vib_table,8-20,0.214616,0.156025,-0.058591
noise_aug,worn,vib_table,20-40,0.287798,0.338437,0.050639
noise_aug,worn,vib_table,40-70,0.114899,0.209464,0.094565
noise_aug,worn,vib_table,70-100,0.317423,0.223604,-0.093819
noise_aug,worn,vib_table,100-125,0.012494,0.017621,0.005127
noise_aug,worn,vib_spindle,0-8,0.110530,0.094366,-0.016163
noise_aug,worn,vib_spindle,8-20,0.229694,0.235890,0.006196
noise_aug,worn,vib_spindle,20-40,0.225050,0.244720,0.019670
noise_aug,worn,vib_spindle,40-70,0.220972,0.224644,0.003672
noise_aug,worn,vib_spindle,70-100,0.147118,0.123127,-0.023991
noise_aug,worn,vib_spindle,100-125,0.066637,0.077253,0.010616
noise_aug,worn,AE_table,0-8,0.105419,0.094997,-0.010423
noise_aug,worn,AE_table,8-20,0.194408,0.307629,0.113221
noise_aug,worn,AE_table,20-40,0.184379,0.229235,0.044856
noise_aug,worn,AE_table,40-70,0.123423,0.138670,0.015248
noise_aug,worn,AE_table,70-100,0.354388,0.192208,-0.162181
noise_aug,worn,AE_table,100-125,0.037983,0.037262,-0.000721
noise_aug,worn,AE_spindle,0-8,0.164121,0.160892,-0.003229
noise_aug,worn,AE_spindle,8-20,0.209481,0.328924,0.119443
noise_aug,worn,AE_spindle,20-40,0.213533,0.235112,0.021579
noise_aug,worn,AE_spindle,40-70,0.117671,0.100370,-0.017301
noise_aug,worn,AE_spindle,70-100,0.260681,0.143378,-0.117303
noise_aug,worn,AE_spindle,100-125,0.034514,0.031325,-0.003189
noise_aug,severe,smcAC,0-8,0.003696,0.003324,-0.000373
noise_aug,severe,smcAC,8-20,0.986361,0.986894,0.000533
noise_aug,severe,smcAC,20-40,0.002536,0.002121,-0.000416
noise_aug,severe,smcAC,40-70,0.002280,0.002259,-0.000021
noise_aug,severe,smcAC,70-100,0.002821,0.003109,0.000288
noise_aug,severe,smcAC,100-125,0.002305,0.002295,-0.000011
noise_aug,severe,smcDC,0-8,0.909220,0.785812,-0.123409
noise_aug,severe,smcDC,8-20,0.026629,0.026697,0.000068
noise_aug,severe,smcDC,20-40,0.063954,0.058205,-0.005749
noise_aug,severe,smcDC,40-70,0.000137,0.046372,0.046235
noise_aug,severe,smcDC,70-100,0.000038,0.046832,0.046794
noise_aug,severe,smcDC,100-125,0.000022,0.036082,0.036061
noise_aug,severe,vib_table,0-8,0.047298,0.016300,-0.030998
noise_aug,severe,vib_table,8-20,0.309386,0.376612,0.067226
noise_aug,severe,vib_table,20-40,0.216909,0.181763,-0.035146
noise_aug,severe,vib_table,40-70,0.125918,0.098463,-0.027455
noise_aug,severe,vib_table,70-100,0.287301,0.312182,0.024881
noise_aug,severe,vib_table,100-125,0.013189,0.014680,0.001492
noise_aug,severe,vib_spindle,0-8,0.210732,0.269430,0.058698
noise_aug,severe,vib_spindle,8-20,0.200274,0.180006,-0.020268
noise_aug,severe,vib_spindle,20-40,0.204689,0.182579,-0.022110
noise_aug,severe,vib_spindle,40-70,0.178395,0.153859,-0.024536
